Vivado Simulator 2018.1
Time resolution is 1 ps
Iniciando simulaci鏮CLK_100MHZ iniciado
聲gulo =                     0, 00b60b60, Xout =  32765, Yout =      2
聲gulo =                     1, 016c16c1, Xout =  32757, Yout =    574
聲gulo =                     2, 02222222, Xout =  32743, Yout =   1146
聲gulo =                     3, 02d82d82, Xout =  32718, Yout =   1714
聲gulo =                     4, 038e38e3, Xout =  32685, Yout =   2288
聲gulo =                     5, 04444444, Xout =  32639, Yout =   2857
聲gulo =                     6, 04fa4fa4, Xout =  32585, Yout =   3425
聲gulo =                     7, 05b05b05, Xout =  32522, Yout =   3993
聲gulo =                     8, 06666666, Xout =  32445, Yout =   4560
聲gulo =                     9, 071c71c7, Xout =  32362, Yout =   5124
聲gulo =                    10, 07d27d27, Xout =  32266, Yout =   5690
聲gulo =                    11, 08888888, Xout =  32163, Yout =   6251
聲gulo =                    12, 093e93e9, Xout =  32046, Yout =   6815
聲gulo =                    13, 09f49f49, Xout =  31924, Yout =   7368
聲gulo =                    14, 0aaaaaaa, Xout =  31790, Yout =   7927
聲gulo =                    15, 0b60b60b, Xout =  31651, Yout =   8478
聲gulo =                    16, 0c16c16c, Xout =  31493, Yout =   9034
聲gulo =                    17, 0ccccccc, Xout =  31335, Yout =   9575
聲gulo =                    18, 0d82d82d, Xout =  31164, Yout =  10121
聲gulo =                    19, 0e38e38e, Xout =  30979, Yout =  10666
聲gulo =                    20, 0eeeeeee, Xout =  30785, Yout =  11208
聲gulo =                    21, 0fa4fa4f, Xout =  30587, Yout =  11743
聲gulo =                    22, 105b05b0, Xout =  30377, Yout =  12277
聲gulo =                    23, 11111111, Xout =  30162, Yout =  12799
聲gulo =                    24, 11c71c71, Xout =  29934, Yout =  13325
聲gulo =                    25, 127d27d2, Xout =  29698, Yout =  13847
聲gulo =                    26, 13333333, Xout =  29448, Yout =  14365
聲gulo =                    27, 13e93e93, Xout =  29193, Yout =  14876
聲gulo =                    28, 149f49f4, Xout =  28929, Yout =  15384
聲gulo =                    29, 15555555, Xout =  28656, Yout =  15886
聲gulo =                    30, 160b60b6, Xout =  28377, Yout =  16383
聲gulo =                    31, 16c16c16, Xout =  28085, Yout =  16875
聲gulo =                    32, 17777777, Xout =  27787, Yout =  17364
聲gulo =                    33, 182d82d8, Xout =  27473, Yout =  17849
聲gulo =                    34, 18e38e38, Xout =  27162, Yout =  18320
聲gulo =                    35, 19999999, Xout =  26839, Yout =  18794
聲gulo =                    36, 1a4fa4fa, Xout =  26508, Yout =  19256
聲gulo =                    37, 1b05b05b, Xout =  26165, Yout =  19719
聲gulo =                    38, 1bbbbbbb, Xout =  25819, Yout =  20172
聲gulo =                    39, 1c71c71c, Xout =  25462, Yout =  20619
聲gulo =                    40, 1d27d27d, Xout =  25100, Yout =  21061
聲gulo =                    41, 1ddddddd, Xout =  24728, Yout =  21493
聲gulo =                    42, 1e93e93e, Xout =  24348, Yout =  21924
聲gulo =                    43, 1f49f49f, Xout =  23964, Yout =  22342
聲gulo =                    44, 20000000, Xout =  23570, Yout =  22758
聲gulo =                    45, 20b60b60, Xout =  23168, Yout =  23167
聲gulo =                    46, 216c16c1, Xout =  22758, Yout =  23570
聲gulo =                    47, 22222222, Xout =  22342, Yout =  23964
聲gulo =                    48, 22d82d82, Xout =  21924, Yout =  24348
聲gulo =                    49, 238e38e3, Xout =  21493, Yout =  24728
聲gulo =                    50, 24444444, Xout =  21061, Yout =  25100
聲gulo =                    51, 24fa4fa4, Xout =  20619, Yout =  25462
聲gulo =                    52, 25b05b05, Xout =  20172, Yout =  25819
聲gulo =                    53, 26666666, Xout =  19719, Yout =  26165
聲gulo =                    54, 271c71c7, Xout =  19256, Yout =  26508
聲gulo =                    55, 27d27d27, Xout =  18794, Yout =  26839
聲gulo =                    56, 28888888, Xout =  18320, Yout =  27162
聲gulo =                    57, 293e93e9, Xout =  17849, Yout =  27473
聲gulo =                    58, 29f49f49, Xout =  17364, Yout =  27787
聲gulo =                    59, 2aaaaaaa, Xout =  16875, Yout =  28085
聲gulo =                    60, 2b60b60b, Xout =  16383, Yout =  28377
聲gulo =                    61, 2c16c16c, Xout =  15886, Yout =  28656
聲gulo =                    62, 2ccccccc, Xout =  15384, Yout =  28929
聲gulo =                    63, 2d82d82d, Xout =  14876, Yout =  29193
聲gulo =                    64, 2e38e38e, Xout =  14365, Yout =  29448
聲gulo =                    65, 2eeeeeee, Xout =  13847, Yout =  29698
聲gulo =                    66, 2fa4fa4f, Xout =  13325, Yout =  29934
聲gulo =                    67, 305b05b0, Xout =  12799, Yout =  30162
聲gulo =                    68, 31111111, Xout =  12277, Yout =  30377
聲gulo =                    69, 31c71c71, Xout =  11743, Yout =  30587
聲gulo =                    70, 327d27d2, Xout =  11208, Yout =  30785
聲gulo =                    71, 33333333, Xout =  10666, Yout =  30979
聲gulo =                    72, 33e93e93, Xout =  10121, Yout =  31164
聲gulo =                    73, 349f49f4, Xout =   9575, Yout =  31335
聲gulo =                    74, 35555555, Xout =   9034, Yout =  31493
聲gulo =                    75, 360b60b6, Xout =   8478, Yout =  31651
聲gulo =                    76, 36c16c16, Xout =   7927, Yout =  31790
聲gulo =                    77, 37777777, Xout =   7368, Yout =  31924
聲gulo =                    78, 382d82d8, Xout =   6815, Yout =  32046
聲gulo =                    79, 38e38e38, Xout =   6251, Yout =  32163
聲gulo =                    80, 39999999, Xout =   5690, Yout =  32266
聲gulo =                    81, 3a4fa4fa, Xout =   5124, Yout =  32362
聲gulo =                    82, 3b05b05b, Xout =   4560, Yout =  32445
聲gulo =                    83, 3bbbbbbb, Xout =   3993, Yout =  32522
聲gulo =                    84, 3c71c71c, Xout =   3425, Yout =  32585
聲gulo =                    85, 3d27d27d, Xout =   2857, Yout =  32639
聲gulo =                    86, 3ddddddd, Xout =   2288, Yout =  32685
聲gulo =                    87, 3e93e93e, Xout =   1714, Yout =  32718
